nn;nm;vid;ob;up
7309;доучёт при выносе;Не используется;0;?
263;начисление платы за проверку залога;Не используется;0;?
46;вынос на просрочку платы за использование лимита без учета;Не используется;0;?
376;гашение процентов на внебалансе, перенесенных из просроченных;Гашение;Проценты;?
1;списание процентов на внебаланс;Не используется;0;U
1;перенос просроченной платы за резервирование ресурсов в присужденную к получению;Не используется;0;?
1;-учтенная плата за резервирование ресурса;Не используется;0;U
2237;списание со счета 47422.99;Не используется;0;?
11;вынос на просрочку перенесенной из просроченной платы за ведение ссудного счета без учета;Не используется;0;?
33;сторнирование неустойки за просрочку кредита;Не используется;0;?
393;гашение госпошлины и др. затрат;Гашение;Госпошлина;?
194;списание ссуды (изменение валюты договора);Списание;Основной долг;?
56;начисление платы за внесение изменений в кд и дп;Не используется;0;?
8;изменение условий;Не используется;0;U
4;гашение основного долга, списанного на в/б за счет резерва;Гашение;Основной долг;?
5;вынос на просрочку платы за резервирование ресурсов без учета;Не используется;0;?
5;учет неустойки за просрочку платы за резервирование ресурсов присужденной к получению;Не используется;0;?
16;перенос ссуды (изменение валюты договора);Не используется;0;?
1994;возврат переплаты;Не используется;0;?
11;продажа. списание просроченной ссудной задолженности;Списание;Основной долг;U
61;импорт. увеличение неучтенных процентов;Не используется;0;?
2;покупка. отражение стоимости приобретения;Не используется;0;?
3;перенос просроченных %% при пролонгации;Не используется;0;U
4;гашение зафиксированной в дату реструктуризации просроченной платы за резервирование ресурсов;Гашение;Комиссия;?
4;комиссия за привлечение финансирования на международном рынке;Гашение;Комиссия;?
30;перенос просроченных процентов в другой договор при переводе долга;Не используется;0;?
1;учет платы за реструктуризацию;Не используется;0;U
4;использование лимита;Не используется;0;?
4;гашение просроченной платы за неполное исполнение обязательств в части страхования;Гашение;Комиссия;?
40163;гашение просроченных процентов на внебалансе;Гашение;Проценты;?
44;перенос основного долга из другого договора при изменении валюты кредита;Не используется;0;?
2;+перенесенная в срочную просроченная плата за использование лимита;Не используется;0;?
5;+учтенные отложенные проценты на внебалансе_иаск;Не используется;0;?
520;перенос просроченных процентов на текущие счета (внебаланс);Не используется;0;?
31;-просроченная плата за использование лимита;Не используется;0;?
42710;гашение задолженности по процентам;Гашение;Проценты;?
19;учтенная неустойка, признанная должником (плата за провед. операц. по ссуд.счету);Не используется;0;U
1;учет платы за резервирование;Не используется;0;U
4;учет плата за резервирование ресурса;Не используется;0;?
43182;гашение пени по кредиту;Гашение;Пени;?
4336;перенос досрочно погашенных учтенных на внебалансе процентов со счета 47422.99 на доходы;Гашение;Проценты;?
1;+зафиксированная в дату реструктуризации просроченная плата за ведение ссудного счета;Не используется;0;U
4792;начисление платы за выдачу кредита/открытие кредитной линии;Не используется;0;?
40;списание просроч платы за обслуживание кредита (присужденная) за счет резерва;Списание;Комиссия;?
2;+просроченная плата за резервирование ресурсов;Не используется;0;?
4337;гашение присужденной госпошлины;Гашение;Госпошлина;?
41;сторнирование неустойки за просрочку платы за обслуживание кредита;Не используется;0;?
292;требование по уплате комисс за досрочное погашение;Не используется;0;?
7300;перенос процентов на балансовый учет;Не используется;0;?
180482;уменьшение отнесенного на себестоимость резерва;Не используется;0;?
43568;перенос досрочно погашенных учтенных процентов со счета 47422.99 на доходы;Гашение;Проценты;?
44;гашение перенесенной в срочную просроченной платы за ведение ссудного счета;Гашение;Комиссия;?
14452;иаск. квитовка увеличения сол;Не используется;0;?
2785;присуждение пени за проценты;Не используется;0;?
47;+неустойка за просрочку платы за резервирование ресурсов;Не используется;0;?
45;импорт. гашение пени по кредиту;Гашение;Пени;?
23;фиксирование в дату реструктуризации просроченной платы за обслуживание кредита;Не используется;0;?
4998;начало периода выборки средств;Не используется;0;?
1;вынос на просрочку учтенной платы за обслуживание кредита (фиксированная сумма);Не используется;0;?
529;списание неполученных просроченных на в/б %;Списание;Проценты;?
735;списание текущих(срочных) процентов на внебаланс;Списание;Проценты;?
46;гашение учтенная плата за ведение ссудного счета;Гашение;Комиссия;?
1;сторнирование неустойки за просрочку платы за пользование лимитом;Не используется;0;U
2;фиксация просроченных процентов в дату реструктуризации;Не используется;0;?
21;присуждение пеней судом;Не используется;0;?
461;плата за невыполнение условий;Гашение;Комиссия;?
1;вынос просроченной ссудной задолженности, погашаемой по отдельному графику) на просрочку;Не используется;0;?
47;гашение просроченных процентов присужденных к получению;Гашение;Проценты;?
18;списание просроченных процентов на внебаланс;Списание;Проценты;?
47;гашение учтенных на внебалансе отложенных процентов;Гашение;Проценты;?
48;+плата за невыполнение условий;Не используется;0;?
57;импорт: увеличение просроч. процентов;Не используется;0;?
39;импорт: увеличение просроченной платы за обслуживание кредита;Не используется;0;?
48;плата за проверку залога;Гашение;Комиссия;?
4836;гашение платы за выдачу кредита/открытие кредитной линии;Гашение;Комиссия;?
109;начисление платы за неполное исполнение обязательств в части страхования;Не используется;0;?
214;+госпошлина;Не используется;0;?
6218;увеличение сол;Не используется;0;?
6;продажа. списание просроченных процентов с в/б;Списание;Проценты;U
90886;увеличение лимита;Не используется;0;?
7;учет платы за обслуживание кредита (фиксированная сумма);Не используется;0;?
112;импорт: уменьшение неучтенных процентов;Не используется;0;?
493;гашение задолженности по кредиту присужденной к получению;Гашение;Основной долг;?
498;комиссия за резервирование;Гашение;Комиссия;?
499;.плата за составление договора ипотеки;Гашение;Комиссия;?
5;гашение просроченной платы за необеспечение;Гашение;Комиссия;?
5;гашение пени по процентам (ну);Гашение;Пени;?
4;перенос резерва на счет резерва просрочки (с/сть);Не используется;0;U
5;гашение присужденных расходов на оценку залога;Гашение;Пени;?
33;списание просроченной ссудной задолженности (присужденной) на в/б;Списание;Основной долг;?
6;вынос на просрочку платы за неполн.исполн.усл.кр.д;Не используется;0;U
2471;компенсация за досрочное погашение кредита;Не используется;0;?
1;выдача суммы договора;Не используется;0;?
14;импорт: уменьшение платы за обслуживание кредита;Не используется;0;?
619;-задолженность по пене за кредит;Не используется;0;?
24;списание на внебаланс присужденных расходов на третейский сбор;Списание;Госпошлина;?
1;требование по уплате за изменение вида обеспечения;Не используется;0;?
383;аннулирование суммы средств, подлежащих к выборке;Не используется;0;?
5;гашение присужденных расходов на экспертизу;Гашение;Пени;?
5992;перенос досрочно уплаченной платы за лимит со счета 47422.99 на доходы;Не используется;0;?
5;гашение присужденного третейского сбора, списанного на внебаланс;Гашение;Госпошлина;?
156;вынос задолженности по кредиту (до вступления в силу мс);Не используется;0;?
50;.плата за нестрахование;Гашение;Комиссия;?
238;учет госпошлины и др. затрат;Не используется;0;?
67;списание просроченной ссудной задолженности присужденной к получению за счет резерва;Списание;Основной долг;?
2;списание срочных процентов на внебалансе;Списание;Проценты;?
5063;плата за резервирование ресурса;Гашение;Комиссия;?
16;-компенсация за досрочное погашение кредита;Не используется;0;?
485;учет отложенных процентов в фикс. суммах;Начисление;Проценты;U
807;-задолженность по пене за проценты;Не используется;0;?
6;учет процентов по договору;Начисление;Проценты;U
52;гашение просроченных процентов на в/б присужденных к получению;Гашение;Проценты;?
2;присуждение срочные проценты на внебалансе;Не используется;0;?
5553;списание неучтенных процентов;Не используется;0;?
2;списание пени, присужденная судом за счет резерва;Списание;Пени;?
55;imp_гашение_кред;Гашение;Основной долг;?
1;удержан 10 % налог;Не используется;0;?
55;комиссия за выдачу ссуды;Гашение;Комиссия;?
4840;уменьшение сол (в связи с образованием просроченной задолженности);Не используется;0;?
20;исправительная проводка;Не используется;0;?
29;импорт: уменьшение основного долга;Не используется;0;?
7;вынос на просрочку перенесенной из просроченной платы за обслуживание кредита без учета;Не используется;0;?
844;начисление платы за рассмотрение кредитной заявки;Не используется;0;?
13;вынос учтенная плата за неполное исполнение условий (страх.);Не используется;0;?
1981;вынос на просрочку платы за использование лимита;Не используется;0;?
567;-просроченная ссудная задолженность;Гашение;Основной долг;U
572;гашение неустойки присужденной к получению;Гашение;Пени;?
10;импорт: увеличение  платы за обслуживание кредита;Не используется;0;?
38;перенос просроченного основного долга в другой договор при переводе долга;Не используется;0;?
59;гашение платы за внесение изменений в кд и дп;Гашение;Комиссия;?
254;списание учтенных процентов;Списание;Проценты;?
73;вынос на просрочку платы за ведение ссудного счета без учета;Не используется;0;?
2;вынос на просрочку комиссии за выдачу кредита/открытие кредитной линии;Не используется;0;?
192;перенос просроченной платы за обслуживание кредита в срочную;Не используется;0;?
34;+перенесенная в срочную просроченная плата за обслуживание кредита;Не используется;0;?
2694;начисление платы за обслуживание кредита (в абсолютном выражении);Не используется;0;?
37;+неполученные списанные на в/б проценты;Не используется;0;?
34;перенос сроч. проц. на внеб., перенесенных из просроч., на учтен. проценты, перенесенные из просроч.;Не используется;0;?
29;импорт: уменьшение сроч. процентов на внеб.;Не используется;0;?
1905042;учет процентов за кредит;Начисление;Проценты;U
6;плата за ведение ссудного счета;Гашение;Комиссия;?
28664;уменьшение отнес. на с/сть резерва (просрочка);Не используется;0;?
180;импорт: уменьшение просроч. основного долга;Не используется;0;?
6;гашение учтенной комиссии за ведение ссудного счета;Гашение;Комиссия;?
274;признание неустойки по пр.кредиту в дату реструктуризации;Не используется;0;?
24;импорт: увеличение просроч. основного долга;Не используется;0;?
1;списание лимита межбанк;Не используется;0;?
60107;гашение пени по процентам;Гашение;Пени;?
65;импорт: увеличение просроч. процентов на внеб.;Не используется;0;?
1;продажа. списание расходов по третейскому сбору;Не используется;0;?
7;списание ссуды на в/б за счет резерва;Списание;Основной долг;?
61;госпошлина;Гашение;Госпошлина;?
62;импорт. гашение пени по процентам;Гашение;Пени;?
648;возмещение - гашение учтенных процентов (юр.лица);Гашение;Проценты;?
4;списание неполученных учтенных на в/б %;Списание;Проценты;?
3103;перенос просроченной задолж. по кредиту;Не используется;0;?
3;.комиссия за отсрочку залога;Не используется;0;?
1113;+просроченная задолж. по проц. на внебалансе;Не используется;0;?
676;гашение процентов списанных на внебаланс;Гашение;Проценты;?
693;возмещение судебных расходов;Гашение;Госпошлина;?
7;гашение пени по договору;Гашение;Пени;?
12;перенос процентов на в/б, присужденных к получению, в другой договор при переводе долга;Не используется;0;?
4;перенос учтенных процентов в учтенные проценты, перенесенные из просроченных;Не используется;0;?
24;вынос на просрочку учтенной платы за обслуживание кредита;Не используется;0;?
182;вынос учтенная плата за ведение ссудного счета;Не используется;0;?
21;импорт. уменьшение неучтенных процентов;Не используется;0;?
7;гашение учтенной неустойки за пр.проценты, признанные в дату реструктуризации;Гашение;Пени;?
7;гашение присужденных неполученных процентов списанных на в/б;Гашение;Проценты;?
7;гашение неучтенной просроченной платы за резервирование ресурсов;Гашение;Комиссия;?
7819;иаск. квитовка уменьшения сол;Не используется;0;?
7;плата за неполн исполн усл кред договора;Гашение;Комиссия;?
7;гашение пени за просрочку платы за резервирование ресурсов (периодическую);Гашение;Пени;?
7;гашение платы за обслуживание ссудного счета;Гашение;Комиссия;?
8;списание просроч платы за использование лимита (присужденная) за счет резерва;Списание;Комиссия;?
53269;списание сол;Не используется;0;?
21;учет неустойки за просрочку платы за пользование лимитом присужденной к получению;Не используется;0;?
601;списание госпошлины (присуждённой) на в/б;Списание;Госпошлина;?
7;плата за пользование лимитом;Гашение;Комиссия;?
706;гашение присужденной просроченной ссудной задолженности;Гашение;Основной долг;?
1;+просроченная плата за неполное исполнение обязательств в части объема обеспечения;Не используется;0;?
80;перенос просроченных процентов в присужденные к получению;Не используется;0;?
1;sbe гашение учтенных процентов на внеб.;Не используется;0;U
60;списание просроченной платы за обслуживание кредита присужденной к получению за счет резерва;Списание;Комиссия;?
4;присуждение учтенной неустойки по процентам, признанной в дату реструктуризации;Не используется;0;?
79;возврат процентов;Не используется;0;?
7218;гашение платы за неполное исполнение обязательств в части объема обеспечения;Гашение;Комиссия;?
7730;гашение просроченной платы за ведение ссудного счета;Гашение;Комиссия;?
4245;формирование/доначисление рвп по просроченным %%;Не используется;0;?
7762;гашение пени за обслуживание кредита;Гашение;Пени;?
4;--- внедрение -- пустая операция - vned_empty;Не используется;0;?
1;уменьшение присужденных просроченных процентов на внебалансе по мс;Не используется;0;?
162;-плата за обслуживание кредита (в % годовых);Не используется;0;?
890;присуждение просроченной задолженности по процентам;Не используется;0;?
23;+основной долг на в/б, списанный за счет резерва;Не используется;0;U
3;-плата за необеспечение;Не используется;0;?
1;+зафиксированная в дату реструктуризации просроченная плата за резервирование ресурсов;Не используется;0;?
73711;учет досрочно погашаемых процентов и комиссий на счете 47422.99;Не используется;0;?
20;вынос на просрочку платы за выдачу кредита/открытие кредитной линии;Не используется;0;?
40;списание аванса;Не используется;0;?
6187;начисление платы за неполное исполнение обязательств в части объема обеспечения;Не используется;0;?
80562;гашение процентов;Гашение;Проценты;?
81;гашение просроченной платы за обслуживание кредита присужденной к получению;Гашение;Комиссия;?
2;продажа. списание пеней за кредит (присужденных);Не используется;0;?
838;плата за изменение условий кредитного договора;Гашение;Комиссия;?
1;перенос уплач % на внеб % (-);Не используется;0;U
145;вынос на просрочку учтенных процентов, перенесенных из просроченных;Не используется;0;?
143;импорт: уменьшение просроч. процентов на внеб.;Не используется;0;?
84833;плата за использование лимита;Гашение;Комиссия;?
85;гашение платы за справку о наличии/остатке кредита;Гашение;Комиссия;?
38;-основной долг на в/б, списанный за счет резерва;Не используется;0;?
1;списание госпошлины за счет резерва;Списание;Госпошлина;?
26;перенос просроченной платы за ведение ссудного счета в срочную;Не используется;0;?
85;плата за ведение ссудного счета (в абсолютном выражении);Гашение;Комиссия;?
45955;вынос задолженности по кредиту;Не используется;0;?
87927;гашение просроченной задолженности;Гашение;Основной долг;?
88;гашение просроченной платы за резервирование ресурсов;Гашение;Комиссия;?
296;требование по возмещению судебных расходов;Не используется;0;?
882;плата за резервирование ресурсов (периодическая);Гашение;Комиссия;?
44672;увеличение суммы средств, подлежащих выборке;Не используется;0;?
89;гашение пени за резервирование ресурсов;Гашение;Пени;?
1666;+учтенные проценты за кредит;Начисление;Проценты;U
566747;выдача кредита;Выдача;Основной долг;?
44;начисление платы за обслуживание кредита;Не используется;0;?
894;.гашение списанных на внебаланс процентов;Гашение;Проценты;?
19;-плата за обслуживание кредита (фиксированная сумма);Не используется;0;?
1;перенос депозита на другой счет;Не используется;0;U
28;учет плата за использование лимита;Не используется;0;?
9;признание штраф_нет_док;Не используется;0;?
6;списание просроченной платы за пользование лимитом присужденной к получению за счет резерва;Списание;Комиссия;?
1;перенос прочих неустойек в присужденные;Не используется;0;?
43;-неустойка за просрочку платы за использование лимита;Не используется;0;?
516;вынос задолженности по процентам;Не используется;0;?
6;импорт: увеличение платы за пользование лимитом;Не используется;0;?
157;уменьшение/восстановление рвп комиссий по ссудам;Не используется;0;?
3379;аннулирование суммы средств, невыбранных вовремя;Не используется;0;?
9;гашение неучтенной просроченной платы за использование лимита;Гашение;Комиссия;?
902;гашение платы за рассмотрение заявки;Гашение;Комиссия;?
9331;гашение платы за досрочное погашение кредита юл;Гашение;Комиссия;?
5832;перенос договора на другой счет;Не используется;0;?
3637;увеличение резерва;Не используется;0;?
94;гашение присужденного основного долга на в/б, списанного за счет резерва;Гашение;Основной долг;?
3;вынос проц за пр. договор учтенных на внеб. (112);Не используется;0;?
3;квитовка. возмещение судебных расходов;Не используется;0;?
9;учет начисленных процентов;Не используется;0;?
491;-неустойка за просрочку платы за обслуживание кредита;Не используется;0;?
1058;возмещение - учет процентов за кредит (юр.лица);Начисление;Проценты;U
162;вынос на просрочку платы за резервирование ресурсов;Не используется;0;?
1;неучт_пр_возм;Не используется;0;?
94;гашение плат и комиссий списанных за счет резерва;Гашение;Комиссия;?
12;импорт. увеличение учтенных на внебалансе процентов;Не используется;0;?
1;присуждение расходов на почтовые услуги и п.р.;Не используется;0;?
14;уменьшение лимита (в связи с образованием просроченной задолженности);Не используется;0;?
1231;фиксация средств, невыбранных вовремя;Не используется;0;?
2;комиссия за открытие счета ну;Не используется;0;U
1;списание платы за проверку залога за счет резерва;Списание;Комиссия;?
4;- уменьшение полученных штрафов, пеней, неустоек;Не используется;0;?
29273;увеличение отнес. на с/сть резерва (просрочка);Не используется;0;?
96;гашение платы за неполное исполнение обязательств в части страхования;Гашение;Комиссия;?
14709;вынос на просрочку платы за обслуживание кредита;Не используется;0;?
617;перенос просроченных процентов на тек. счета;Не используется;0;?
975797;гашение кредита;Гашение;Основной долг;?
1168;формирование/доначисление рвп комиссий по ссудам;Не используется;0;?
84;импорт: увеличение пени по проц;Не используется;0;?
;Выплата процентов;Начисление;Проценты;
;Закрытие кредитного договора;Не используется;;
;Гашение процентов НУ;Гашение;Проценты;
;Гашение задолженности по проц. договора;Гашение;Проценты;
;Гашение суммы договора;Гашение;Основной долг;
;Гашение компенсации неучтенных процентов;Гашение;Проценты;
;Лимит задолженности;Не используется;;
;!Не выбирать!;Не используется;;
;Установка лимита выдачи;Не используется;;
;Снижение залоговой стоимости;Не используется;;
;Установление % ставки;Не используется;;
;Возмещение - гашение процентов (юр.лица);Гашение;Проценты;
;Гашение процентов-отложенных;Гашение;Проценты;
;Списание лимита по плану (графики для линий);Не используется;;
;Закрыть лимит;Не используется;;
;ИЗМЕНЕНИЕ ЗАЛОГОВОЙ СТОИМОСТИ;Не используется;;
;Гашение учтенных процентов, зафиксированных на дату реструктуризации;Гашение;Проценты;
;Гашение прочих неустоек, признанных в дату реструктуризации;Гашение;Комиссия;
;Фиксация срочных процентов в дату реструктуризации;Не используется;;
;Фиксация срочных процентов на пр.кредит в дату реструктуризации;Не используется;;
;Гашение учтенной перенесенной в срочную просроченную плату за обслуживание кредита;Гашение;Комиссия;
;- уменьшение полученных комиссий;Не используется;0;
;.погашение списанных на внебаланс процентов;Гашение;Проценты;
;+возмещение - проценты за кредит;Не используется;0;
;+возмещение - учтенные проценты за кредит;Не используется;0;
;+возмещение-учтенные проценты за кредит (юрл);Не используется;0;
;+неустойка за просрочку платы за пользование лимита;Не используется;0;
;+неустойка за просрочку платы за пользование лимитом;Не используется;0;
;+перенесенная в срочную просроч. плата за неполное исполнение условий (оформл.имущ. обеспеч.);Не используется;0;
;+перенесенная в срочную просроченная плата за ведение ссудного счета;Не используется;0;
;+перенесенная в срочную просроченная плата за пользование лимита;Не используется;0;
;+перенесенная в срочную просроченная плата за пользование лимитом;Не используется;0;
;+плата за пользование лимита;Не используется;0;
;+плата за пользование лимитом;Не используется;0;
;+просроченная плата за пользование лимитом;Не используется;0;
;+проценты за просроченный кредит(112)  учтенные на внебалансе;Не используется;0;
;+учтенная плата за использование лимита;Не используется;0;
;+учтенная плата за пользование лимита;Не используется;0;
;old_взыскание по гарантии;Гашение;Основной долг;
;old_комиссия за выдачу гарантии;Гашение;Комиссия;
;old_плата за необеспечение по гарантии (периодическая);Гашение;Комиссия;
;old_требование на уплату комиссии;Не используется;0;
;old_уплата комиссии за выдачу гарантии;Гашение;Комиссия;
;old_уплата не взысканной по гарантии суммы;Гашение;Основной долг;
;old_уплата пени за неуплаченную в срок комиссию;Гашение;Пени;
;old_уплата процентов по не взысканной сумме;Гашение;Проценты;
;old_учет пени за неуплаченную в срок комиссию;Не используется;0;
;sbe учет процентов за кредит на внеб.;Не используется;0;
;внебалансовый учет выданной гарантии;Не используется;0;
;внебалансовый учет гарантии;Не используется;0;
;возмещение - вынос срочных процентов на внебалансе (юр.лица);Не используется;0;
;возмещение - вынос учтенных процентов на просрочку (юр.лица);Не используется;0;
;возмещение - погашение процентов (юр.лица);Гашение;Проценты;
;возмещение - погашение учтенных на внебалансе процентов (юр.лица);Гашение;Проценты;
;возмещение - погашение учтенных процентов (юр.лица);Гашение;Проценты;
;-возмещение - учтенные проценты за кредит(юрл);Не используется;0;
;возмещение суммы выплаченных средств по гарантии;Гашение;Основной долг;
;вознаграждение за гарантию;Гашение;Комиссия;
;восстановление лимита договора гарантии;Не используется;0;
;вынос задолженности по договору;Не используется;0;
;вынос на просрочку комиссии за открытие лимита овердрафта без учета;Не используется;0;
;вынос на просрочку перенесенной из просроченной платы за использование лимита без учета;Не используется;0;
;вынос на просрочку перенесенной из просроченной платы за пользование лимита без учета;Не используется;0;
;вынос на просрочку перенесенной из просроченной платы за пользование лимитом без учета;Не используется;0;
;вынос на просрочку платы за неполное исполнение обязательств в части объема обеспечения без учета;Не используется;0;
;вынос на просрочку платы за пользование лимита;Не используется;0;
;вынос на просрочку платы за пользование лимита без учета;Не используется;0;
;вынос на просрочку платы за пользование лимитом;Не используется;0;
;вынос на просрочку платы за пользование лимитом без учета;Не используется;0;
;вынос на просрочку платы за пользование открытым лимитом без учета;Не используется;0;
;вынос на просрочку платы за резервирование ресурсо;Не используется;0;
;вынос на просрочку платы за реструктуризацию;Не используется;0;
;вынос на просрочку суммы вознаграждения(проц.) за выдачу гарантии на счете требований;Не используется;0;
;вынос на просрочку суммы вознаграждения(фикс.) за выдачу гарантии на счете требований;Не используется;0;
;вынос перенесенной в срочную просроч. платы за неполное исполнение условий (оформл.имущ. обеспеч.);Не используется;0;
;вынос перенесенной в срочную просроченной платы за использование лимита;Не используется;0;
;вынос перенесенной в срочную просроченной платы за пользование лимита;Не используется;0;
;вынос перенесенной в срочную просроченной платы за пользование лимитом;Не используется;0;
;вынос сроч. проц. на внеб., перенененных из просроч., на просроч. проц. на в/б;Не используется;0;
;вынос учтенной комиссии за ведение ссудного счета;Не используется;0;
;вынос учтенной комиссии за пользование лимита;Не используется;0;
;вынос учтенной комиссии за пользование лимитом;Не используется;0;
;вынос учтенной перенесенной в срочную просроченной платы за ведение ссудного счета;Не используется;0;
;вынос учтенной перенесенной в срочную просроченную плату за обслуживание кредита;Не используется;0;
;вынос учтенной платы за неполное исполнение условий (оформл.имущ. обеспеч.);Не используется;0;
;вынос учтенной платы за открытие лимита овердрафта;Не используется;0;
;вынос учтенной платы за пользование открытым лимитом;Не используется;0;
;вынос учтенных процентов-отложенных на просрочку;Не используется;0;
;выплата просроченных процентов;Не используется;0;
;выплата средств по гарантии;Не используется;0;
;гаш_комис_счет;Не используется;0;
;гашение дебиторской задолженности по мбк;Гашение;Основной долг;
;гашение зафиксированной в дату реструктуризации просроченной платы за ведение ссудного счета;Гашение;Комиссия;
;гашение неустойки за просроченную задолженность выплаченных средства по гарантии;Гашение;Пени;
;гашение неустойки за просроченную комиссию за открытие лимита овердрафта;Гашение;Пени;
;гашение неустойки за просрочку вознаграждения(проц.) за выдачу гарантии;Гашение;Пени;
;гашение неустойки за просрочку вознаграждения(фикс.) за выдачу гарантии;Гашение;Пени;
;гашение неустойки за просрочку платы за вынужденное отвлечение средств;Гашение;Пени;
;гашение неустойки за просрочку платы за невыполнение условий по обеспечению(доп.);Гашение;Пени;
;гашение неучтенной просроченной комиссии за открытие лимита овердрафта;Гашение;Комиссия;
;гашение неучтенной просроченной платы за неполное исполнение обязательств в части объема обеспечения;Гашение;Комиссия;
;гашение неучтенной просроченной платы за пользование лимита;Гашение;Комиссия;
;гашение неучтенной просроченной платы за пользование лимитом;Гашение;Комиссия;
;гашение пени за пользование лимита;Гашение;Пени;
;гашение пени за пользование лимитом;Гашение;Пени;
;гашение пени за просрочку оформления залога и страхов.;Гашение;Пени;
;гашение платы за резервирование кюл (ген. согл.);Гашение;Комиссия;
;гашение почтовых расходов и пр.(присужденных) на в/б;Гашение;Комиссия;
;гашение присужденной неустойки за просрочку платы за неполное исполнение обязательств в части объема;Гашение;Пени;
;гашение присужденной неустойки за просрочку платы за неполное исполнение обязательств в части страхо;Гашение;Пени;
;гашение присужденной неустойки по плате за пользование лимита;Гашение;Пени;
;гашение присужденной неустойки по плате за пользование лимитом;Гашение;Пени;
;гашение присужденной неучтенной просроченной плата за пользование лимита;Гашение;Комиссия;
;гашение присужденной неучтенной просроченной платы за обслуживание кредита;Гашение;Комиссия;
;гашение присужденной просроченной платы за пользование лимита;Гашение;Комиссия;
;гашение присужденной просроченной платы за пользование лимитом;Гашение;Комиссия;
;гашение присужденных почтовых услуг и п.р.;Гашение;Пени;
;гашение присужденных срочных процентов на внебалансе;Гашение;Проценты;
;гашение просроченной комиссии за открытие лимита овердрафта;Гашение;Комиссия;
;гашение просроченной платы за пользование лимита;Гашение;Комиссия;
;гашение просроченной платы за пользование лимитом;Гашение;Комиссия;
;гашение просроченной суммы вознаграждения(проц.) за выдачу гарантии;Гашение;Комиссия;
;гашение просроченной суммы вознаграждения(фикс.) за выдачу гарантии;Гашение;Комиссия;
;гашение просроченной суммы выплаченных средств по гарантии;Гашение;Комиссия;
;гашение процентов (субсидия);Гашение;Проценты;
;гашение учтенная плата за пользование лимита;Гашение;Комиссия;
;гашение учтенной комиссии за пользование лимита;Гашение;Комиссия;
;гашение учтенной комиссии за пользование лимитом;Гашение;Комиссия;
;гашение учтенной перенесенной в срочную просроченной платы за ведение ссудного счета;Гашение;Комиссия;
;гашение учтенной платы за неполное исполнение условий (оформл.имущ. обеспеч.);Гашение;Комиссия;
;гашение учтенной платы за открытие лимита овердрафта;Гашение;Комиссия;
;гашение учтенной платы за резервирование;Гашение;Комиссия;
;гашение учтенной платы за резервирование ресурсов (периодическая);Гашение;Комиссия;
;гашение учтенной суммы вознаграждения(фикс.) за выдачу гарантии;Гашение;Комиссия;
;гашение учтенных процентов по договору;Гашение;Проценты;
;иаск. квитовка платы за пользование лимитом;Не используется;0;
;излишне перечисленные средства;Не используется;0;
;изменение суммы гарантии;Не используется;0;
;импорт. погашение пени по кредиту;Гашение;Пени;
;импорт. погашение пени по процентам;Гашение;Пени;
;импорт: погашение платы за выдачу кредита/открытие кредитной линии;Не используется;0;
;квитовка . гашение неустойки за пр.проценты, признанной в дату реструктуризации;Не используется;0;
;квитовка . погашение неустойки за пр.проценты, признанной в дату реструктуризации;Не используется;0;
;квитовка. гашение неустойки за пр. плату за ведение с/с, признанной в дату реструктуризации;Не используется;0;
;квитовка. гашение неустойки за пр.кредит, признанной в дату реструктуризации;Не используется;0;
;квитовка. гашение присужденных пени за кредит;Не используется;0;
;квитовка. гашение присужденных пени за проценты;Не используется;0;
;квитовка. погашение неустойки за пр.кредит, признанной в дату реструктуризации;Не используется;0;
;квитовка. погашение неустойки по плате за обслуживание кредита (в абсолютном выражении);Не используется;0;
;квитовка. погашение неустойки присужденной к получению;Не используется;0;
;квитовка. погашение присужденной неустойки по плате за обслуживание кредита;Не используется;0;
;квитовка. погашение присужденных пени за кредит;Не используется;0;
;квитовка. погашение присужденных пени за проценты;Не используется;0;
;квитовка. погашение присужденных расходов на третейский сбор;Не используется;0;
;комиссия за выдачу гарантии;Гашение;Комиссия;
;-компенсация пени по просроченной ссудной задолженности;Не используется;0;
;начисление пени за несвоевременное оформление страхового полиса;Не используется;0;
;начисление платы за страхование;Не используется;0;
;начисление процентов;Не используется;0;
;начислены судебные издержки;Не используется;0;
;не определено;Не используется;0;
;-неустойка за просрочку платы за пользование лимитом;Не используется;0;
;-основной долг на в/б, списанный за счет прибыли;Не используется;0;
;пеня за просрочку комиссии за открытие;Гашение;Пени;
;-перенесенная в срочную просроченная плата за обслуживание кредита;Не используется;0;
;перенос в отдельный график погашения просроченных в/б процентов;Не используется;0;
;перенос неучтенной неустойки по кредиту зафикс. в дату реструктуризации во внесистемную;Не используется;0;
;перенос неучтенной неустойки по процентам зафикс. в дату реструктуризации во внесистемную;Не используется;0;
;перенос платы за обслуживание в отложенную/фиксированную;Не используется;0;
;перенос присужденной просроченной платы за ведение ссудного счета в срочную;Не используется;0;
;перенос присужденной просроченной платы за обслуживание кредита в срочную;Не используется;0;
;перенос присужденной просроченной платы за пользование лимитом в срочную;Не используется;0;
;перенос присужденных пени за кредит в признанные по мс;Не используется;0;
;перенос присужденных пени за проценты в признанные по мс;Не используется;0;
;перенос просроченной задолж. по кредиту (присужденной);Не используется;0;
;перенос просроченной платы за пользование лимита в срочную;Не используется;0;
;перенос просроченной платы за пользование лимитом в срочную;Не используется;0;
;перенос просроченных процентов (присужденных) на текущие счета;Не используется;0;
