VDOKROUT_CLU,U7M_ID,O_PHONE_phoneNumber,Номер полный  (Телефон организации),STRING,18
VDOKROUT_CLU,U7M_ID,SBBOL_NDOG,№ действующего договора СББОЛ,STRING,64
VDOKROUT_CLU,U7M_ID,RU_ID,Ид корневой папки Клиента в ЕСМ,STRING,100
VDOKROUT_CLU,U7M_ID,M_PHONE_phoneNumber,Номер полный  (Мобильный телефон),STRING,18
VDOKROUT_CLU,U7M_ID,EMAIL,Адрес электронной почты,STRING,60
VDOKROUT_CLF,F7M_ID,D_ADDRESS_cityName,Название города,STRING,50
VDOKROUT_CLF,F7M_ID,D_ADDRESS_villageName,Наименование населенного пункта,STRING,60
VDOKROUT_CLF,F7M_ID,F_ADDRESS_cityName,Название города,STRING,50
VDOKROUT_CLF,F7M_ID,F_ADDRESS_villageName,Наименование населенного пункта,STRING,60
VDOKROUT_CLU,U7M_ID,OGRN_CODE,Номер свидетельства ОГРН,STRING,15
VDOKROUT_CLU,U7M_ID,SOUN,Код органа по справочнику СОУН,STRING,15
VDOKROUT_CLF,F7M_ID,UDBO_AGREE_DATE,Дата Действующего договора УДБО,DATE,
VDOKROUT_CLF,F7M_ID,UDBO_AGREE_NO,№ действующего договора УДБО,STRING,20
VDOKROUT_CLU,U7M_ID,OKVED,ОКВЭД (основной),STRING,22
VDOKROUT_CLU,U7M_ID,RATING_OFFLINE_CALC_ID,ID расчета рейтинга из CRM офф-лайн,STRING,15
VDOKROUT_CLF,F7M_ID,F_ADDRESS_buildingNumber,Номер корпуса,STRING,20
VDOKROUT_CLF,F7M_ID,F_ADDRESS_blockNumber,Номер строения,STRING,20
VDOKROUT_CLF,F7M_ID,F_ADDRESS_flatNumber,Номер квартиры,STRING,20
VDOKROUT_CLU,U7M_ID,REG_ADDRESS_houseNumber,Номер дома,STRING,20
VDOKROUT_CLU,U7M_ID,REG_ADDRESS_buildingNumber,Номер корпуса,STRING,20
VDOKROUT_CLU,U7M_ID,REG_ADDRESS_blockNumber,Номер строения,STRING,20
VDOKROUT_CLU,U7M_ID,REP_DATE_OFFLINE,Дата отчетности,DATE,
VDOKROUT_CLU,U7M_ID,SBBOL_DDOG,Дата Действующего договора СББОЛ,DATE,
VDOKROUT_CLU,U7M_ID,BSEGMENT,Бизнес Сегмент,STRING,30
VDOKROUT_CLU,U7M_ID,INDUSTRY,Отрасль,STRING,255
VDOKROUT_CLU,U7M_ID,OGRN_SN,Серия свидетельства ОГРН,STRING,15
VDOKROUT_CLU,U7M_ID,F_ADDRESS_buildingNumber,Номер корпуса,STRING,20
VDOKROUT_CLU,U7M_ID,F_ADDRESS_blockNumber,Номер строения,STRING,20
VDOKROUT_CLF,F7M_ID,D_ADDRESS_buildingNumber,Номер корпуса,STRING,20
VDOKROUT_CLF,F7M_ID,D_ADDRESS_blockNumber,Номер строения,STRING,20
VDOKROUT_CLF,F7M_ID,F_ADDRESS_regionName,Название региона,STRING,100
VDOKROUT_CLF,F7M_ID,F_ADDRESS_districtName,Название района,STRING,60
VDOKROUT_SET_ITEM,SET_ITEM_ID,CONCERNMENT,Заинтересованность,NUMBER,
VDOKROUT_RDOC,RDOC_ID,DOC_NAME,Наименование документа,STRING,256
VDOKROUT_CLF,F7M_ID,ID_SOURCE_KOD,Код подразделения,STRING,7
