CODE;NM;CRM ID;country;Group;GUID
109;"ОАО ""БЕЛАЗ"" -управляющая компания холдинга ""БЕЛАЗ-Холдинг""";1-1ZG1IK8;Belarus;-;
110;Галерея Концепт Республика Беларусь;1-29L0KKP;Belarus;-;
111;"ОАО ""Нафтан""";1-RJC9QX;Belarus;-;
112;"ОАО ""Гродно Азот""";1-11UFZRL;Belarus;;
113;"ОАО ""Мозырский нефтеперерабатывающий завод""";1-ZYIIMP;Belarus;-;
114;"ТОО ""ТЕНГИЗТРАНСГАЗ""";1-YBII3H;Kazakhstan;Меридиан;
115;Транспортный холдинг ;1-1IQPIEN;Kazakhstan;Меридиан;
116;АО ТНК КАЗХРОМ;1-1JJ13YF;Kazakhstan;ERG;
117;"АО ""ССГПО""";1-1JA7L94;Kazakhstan;ERG;
118;Евроазиатская энергетическая корпорация;1-28JWJ8J;Kazakhstan;ERG;
119;Eurasian Resources Group B.V.;1-1P9YJE2;Kazakhstan;ERG;
120;"ТОО ""Актауский Морской Северный Терминал""";1-2H1LEKO;Kazakhstan;Sembol;
121;"ТОО ""Агрофирма Эксимнан""";1-XPFT3G;Kazakhstan;н/д;
122;КАЗМУНАЙГАЗ - ПЕРЕРАБОТКА И МАРКЕТИНГ;1-21LWQO8;Kazakhstan;Казмунайгаз;
123;АО Горно-металлургический концерн КАЗАХАЛТЫН;1-GFHP9HM;Kazakhstan;КАЗАХМЫС;
124;ТОО Еврохим Каратау ;-;Kazakhstan;Группа Мельниченко;
125;ТОО Бакырчикское горнодобывающее предприятие;1-7TPG8RW;Kazakhstan;Группа ИСТ;
126;ТОО Газпромнефть Казахстан АЭРО;-;Kazakhstan;Газпром;
127;"ООО ""МЕТАЛПРОФИЛЬ""";-;Belarus;;
128;"ИООО ""ТАТБЕЛНЕФТЕПРОДУКТ""";-;Belarus;"ОАО ""ТАТНЕФТЬ"" ИМ.В.Д.ШАШИНА";
129;"ООО ""ТехноНИКОЛЬ"" (Минск)";-;Belarus;Концерн Технониколь;
130;"ЗАО ""СЕВЕРСТАЛЬ ДИСТРИБУЦИЯ""";1-231GM;Россия;Севергрупп;
131;ШАХТОУПРАВЛЕНИЕ ОБУХОВСКАЯ;1-B1DPDZ;Russia;SCM Group ;
132;Фабсел Лимитед;1-9H9J6FL;Кипр;SCM Group ;
133;Укртелеком;1-132FY9I;Украина;Группа SCM ;
134;Tengri Development;1-1C2H7FC;Russia;Capital Partners;
135;LEAF TOBACCO A. MICHAILIDIDES SA;1-2DCPCTG;Греция;;
136;GUNVOR SA;-;Switzerland;Gunvor  Group;
137;ASTON FFI (SUISSE);1-1Q86O91;Switzerland;;
138;ALPICOM S.A.;1-127XXVZ;Switzerland;Кокс;
139;NOVATEK GAS & POWER;1-5ZMLQZ0;Switzerland;Новатэк;
140;LIMENIKO TRADE & INV;-;Virgin Island (Briti;Русагро;
141;GTCS TRADING DMCC;-;United Arab Emirates;;
142;Актюбинская медная компания;1-OKQXX;Kazakhstan;Русская медная компания;
143;Казахтелеком;1-FK4M2X;Казахстан;Самрук-Казына;
144;"ТОО ""ЭМИТИ Интернешнл""";1-AT1M;Казахстан;ГК Катрен;
145;Bestsport A.S.;-;Czech Republic;PPF Group ;
146;PPF Telco B.V.;-;Netherlands;PPF Group;
147;HOME CREDIT B.V.;1-9KOJMTX;Netherlands;PPF Group;
148;Несвижский завод детского питания;1-N6TABGG;Belarus;"Группа компаний ""Меридиан""";
149;ТОО «Автомир-Центр»;1-ANTSC;Казахстан;Холдинг Автомир;
150;"ТОО ""ТК ""Мегаполис""";1-1JS41RR;Казахстан;Мегаполис / Меркурий;
151;"ТОО ""Софтлайн Сервисез""";1-2D2LKU;Казахстан;Softline;
