CODE;NM;START_DATE;END_DATE;GUID
AF;Афганистан;;;1
VE;Венесуэла;;;2
YE;Йемен;;;3
IQ;Ирак;;;4
IR;Иран;;;5
KP;Корейская Народно-Демократическая Республика (КНДР);;;6
CU;Куба;;;7
SY;Сирия;;;8
SD;Судан;;;9
