BO_ID;FEATURE_ID;MIN;MAX;categorial
518;AVP;0.0;0.01;
518;PRIV;0.5;0.75;
518;BALLOON;0.5;0.75;
518;PD;0.0;0.0048;
518;LGD;0;1;
518;CURRENCY;;;RUR
518;PRODUCT;;;1-M813EC
518;CREDIT_MODE;;;Credit Contract
518;CREDIT_INSTRUMENT;;;Credit
518;TARGET_GR;;;01
519;DUR;12.0;18.0;
519;EXP;0.19;0.2;
519;AVP;0.0;0.01;
519;PRIV;0.25;0.5;
519;BALLOON;0.25;0.5;
519;PD;0.0;0.0048;
519;LGD;0;1;
519;CURRENCY;;;RUR
519;PRODUCT;;;1-M813EC
519;CREDIT_MODE;;;Credit Contract
519;CREDIT_INSTRUMENT;;;Credit
519;TARGET_GR;;;01
520;DUR;12.0;18.0;
520;EXP;0.15;0.16;
520;AVP;0.0;0.01;
520;PRIV;0.0;0.25;
520;BALLOON;0.0;0.25;
520;PD;0.0091;0.01725;
520;LGD;0;1;
520;CURRENCY;;;RUR
520;PRODUCT;;;1-M813EC
520;CREDIT_MODE;;;Credit Contract
520;CREDIT_INSTRUMENT;;;Credit
520;TARGET_GR;;;01
521;DUR;12.0;18.0;
521;EXP;0.05;0.06;
521;AVP;0.0;0.01;
521;PRIV;0.5;0.75;
521;BALLOON;0.5;0.75;
521;PD;0.0091;0.01725;
521;LGD;0;1;
521;CURRENCY;;;RUR
521;PRODUCT;;;1-M813EC
521;CREDIT_MODE;;;Credit Contract
521;CREDIT_INSTRUMENT;;;Credit
521;TARGET_GR;;;01
522;DUR;12.0;18.0;
522;EXP;0.1;0.11;
522;AVP;0.0;0.01;
522;PRIV;0.5;0.75;
522;BALLOON;0.5;0.75;
522;PD;0.0048;0.0091;
522;LGD;0;1;
522;CURRENCY;;;RUR
522;PRODUCT;;;1-M813EC
522;CREDIT_MODE;;;Credit Contract
522;CREDIT_INSTRUMENT;;;Credit
522;TARGET_GR;;;01
523;DUR;12.0;18.0;
523;EXP;0.1;0.11;
523;AVP;0.0;0.01;
523;PRIV;0.25;0.5;
523;BALLOON;0.25;0.5;
523;PD;0.0091;0.01725;
523;LGD;0;1;
523;CURRENCY;;;RUR
523;PRODUCT;;;1-M813EC
523;CREDIT_MODE;;;Credit Contract
523;CREDIT_INSTRUMENT;;;Credit
523;TARGET_GR;;;01
524;DUR;12.0;18.0;
524;EXP;0.23;0.24;
524;AVP;0.0;0.01;
524;PRIV;0.0;0.25;
524;BALLOON;0.0;0.25;
524;PD;0.0;0.0048;
524;LGD;0;1;
524;CURRENCY;;;RUR
524;PRODUCT;;;1-M813EC
524;CREDIT_MODE;;;Credit Contract
524;CREDIT_INSTRUMENT;;;Credit
524;TARGET_GR;;;01
526;DUR;12.0;18.0;
526;EXP;0.11;0.12;
526;AVP;0.0;0.01;
526;PRIV;0.5;0.75;
526;BALLOON;0.5;0.75;
526;PD;0.0048;0.0091;
526;LGD;0;1;
526;CURRENCY;;;RUR
526;PRODUCT;;;1-M813EC
526;CREDIT_MODE;;;Credit Contract
526;CREDIT_INSTRUMENT;;;Credit
526;TARGET_GR;;;01
528;DUR;12.0;18.0;
528;EXP;0.04;0.05;
528;AVP;0.0;0.01;
528;PRIV;0.5;0.75;
528;BALLOON;0.5;0.75;
528;PD;0.0091;0.01725;
528;LGD;0;1;
528;CURRENCY;;;RUR
528;PRODUCT;;;1-M813EC
528;CREDIT_MODE;;;Credit Contract
528;CREDIT_INSTRUMENT;;;Credit
528;TARGET_GR;;;01
