BO_ID;CLUST_ID;BO_QUALITY
1010;CORP_CRED;0.0
1011;CORP_CRED;0.0005
1012;CORP_CRED;0.0003
1013;CORP_CRED;0.0
1014;CORP_CRED;0.006
1015;CORP_CRED;0.0
1016;CORP_CRED;0.0005
1017;CORP_CRED;0.0
1018;CORP_CRED;0.0005
1019;CORP_CRED;0.0003
1020;CORP_CRED;0.0
1021;CORP_CRED;0.0003
1022;CORP_CRED;0.0
1023;CORP_CRED;0.0008
1024;CORP_CRED;0.0
1025;CORP_CRED;0.0
1026;CORP_CRED;0.0003
1027;CORP_CRED;0.0003
1028;CORP_CRED;0.0
1029;CORP_CRED;0.0079
1030;CORP_CRED;0.0
1031;CORP_CRED;0.0003
1032;CORP_CRED;0.0008
1033;CORP_CRED;0.0003
1035;CORP_CRED;0.0003
1036;CORP_CRED;0.0011
1037;CORP_CRED;0.0
1038;CORP_CRED;0.0
1039;CORP_CRED;0.0
1040;CORP_CRED;0.0005
1041;CORP_CRED;0.0011
1042;CORP_CRED;0.0033
1043;CORP_CRED;0.0
1044;CORP_CRED;0.0011
1045;CORP_CRED;0.0526
1046;CORP_CRED;0.0
1047;CORP_CRED;0.0085
1048;CORP_CRED;0.0
1049;CORP_CRED;0.0
1050;CORP_CRED;0.0
1051;CORP_CRED;0.0
1052;CORP_CRED;0.0
1053;CORP_CRED;0.0003
1054;CORP_CRED;0.0
1055;CORP_CRED;0.0003
1056;CORP_CRED;0.0008
1057;CORP_CRED;0.0
1058;CORP_CRED;0.0
1059;CORP_CRED;0.0014
1060;CORP_CRED;0.0
1061;CORP_CRED;0.0005
1062;CORP_CRED;0.0003
1063;CORP_CRED;0.0052
1064;CORP_CRED;0.0
1065;CORP_CRED;0.0
1066;CORP_CRED;0.0025
1067;CORP_CRED;0.0003
1068;CORP_CRED;0.0016
1069;CORP_CRED;0.0
1070;CORP_CRED;0.0008
1071;CORP_CRED;0.0
1072;CORP_CRED;0.0008
1073;CORP_CRED;0.0
1074;CORP_CRED;0.0003
1075;CORP_CRED;0.0
1076;CORP_CRED;0.0
1077;CORP_CRED;0.0016
1078;CORP_CRED;0.0003
1079;CORP_CRED;0.0
1080;CORP_CRED;0.0
1081;CORP_CRED;0.0
1082;CORP_CRED;0.0
1083;CORP_CRED;0.0
1084;CORP_CRED;0.0
1085;CORP_CRED;0.0003
1086;CORP_CRED;0.0005
1087;CORP_CRED;0.0099
1088;CORP_CRED;0.0
1089;CORP_CRED;0.0036
1090;CORP_CRED;0.0
1091;CORP_CRED;0.0003
1092;CORP_CRED;0.0
1093;CORP_CRED;0.0
1094;CORP_CRED;0.0
1095;CORP_CRED;0.0
1096;CORP_CRED;0.0
1097;CORP_CRED;0.0003
1098;CORP_CRED;0.0
1099;CORP_CRED;0.0011
1100;CORP_CRED;0.0003
1101;CORP_CRED;0.0019
1102;CORP_CRED;0.0008
